view,character_id,character,death,win_plus,eden,amon,primal_death,runs,best_floor
best,0,"TheHero",—,—,—,—,—,0,—
best,1,"Knight",—,—,—,—,—,0,—
best,2,"Sorcerer",—,—,—,—,—,0,—
best,3,"Ranger",—,—,—,—,—,0,—
best,4,"Bandit",—,—,—,—,—,0,—
best,5,"Cleric",—,—,—,—,—,0,—
best,6,"Pyromancer",—,—,—,—,—,0,—
best,7,"Thief",—,—,—,—,—,0,—
best,8,"Wanderer",—,—,—,—,—,0,—
best,9,"Warrior",—,—,—,—,—,0,—
best,10,"Deprived",—,—,—,—,—,0,—
best,11,"Gunslinger",—,—,—,—,—,0,—
best,12,"Doppelganger",—,—,—,—,—,0,—
best,13,"Wizard",—,—,—,—,—,0,—
best,14,"Soldier",—,—,—,—,—,0,—
best,15,"Bard",—,—,—,—,—,0,—
best,16,"Mystic",—,—,—,—,—,0,—
best,17,"Monk",—,—,—,—,—,0,—
best,18,"Paladin",—,—,—,—,—,0,—
best,19,"SuperHero",—,—,—,—,—,0,—
best,20,"Necromancer",—,—,—,—,—,0,—
best,21,"Druid",12,12,12,—,—,1,12
best,22,"Barbarian",—,—,—,—,—,0,—
best,23,"Ninja",16,16,—,16,—,1,12
best,24,"DemonHunter",—,—,—,—,—,0,—
best,25,"Cyborg",—,—,—,—,—,0,—
best,26,"Dancer",—,—,—,—,—,0,—
best,27,"Dragoon",—,—,—,—,—,0,—
best,28,"Esper",—,—,—,—,—,0,—
best,29,"Jester",—,—,—,—,—,0,—
best,30,"Pirate",—,—,—,—,—,0,—
best,31,"Samurai",—,—,—,—,—,0,—
best,32,"Alchemist",14,14,—,—,14,1,12
best,33,"Santa",—,—,—,—,—,0,—
best,34,"Class ID 34",—,—,—,—,—,0,—
best,35,"Class ID 35",—,—,—,—,—,0,—
cinder16_counts,0,"TheHero",0,0,0,0,0,,
cinder16_counts,1,"Knight",0,0,0,0,0,,
cinder16_counts,2,"Sorcerer",0,0,0,0,0,,
cinder16_counts,3,"Ranger",0,0,0,0,0,,
cinder16_counts,4,"Bandit",0,0,0,0,0,,
cinder16_counts,5,"Cleric",0,0,0,0,0,,
cinder16_counts,6,"Pyromancer",0,0,0,0,0,,
cinder16_counts,7,"Thief",0,0,0,0,0,,
cinder16_counts,8,"Wanderer",0,0,0,0,0,,
cinder16_counts,9,"Warrior",0,0,0,0,0,,
cinder16_counts,10,"Deprived",0,0,0,0,0,,
cinder16_counts,11,"Gunslinger",0,0,0,0,0,,
cinder16_counts,12,"Doppelganger",0,0,0,0,0,,
cinder16_counts,13,"Wizard",0,0,0,0,0,,
cinder16_counts,14,"Soldier",0,0,0,0,0,,
cinder16_counts,15,"Bard",0,0,0,0,0,,
cinder16_counts,16,"Mystic",0,0,0,0,0,,
cinder16_counts,17,"Monk",0,0,0,0,0,,
cinder16_counts,18,"Paladin",0,0,0,0,0,,
cinder16_counts,19,"SuperHero",0,0,0,0,0,,
cinder16_counts,20,"Necromancer",0,0,0,0,0,,
cinder16_counts,21,"Druid",0,0,0,0,0,,
cinder16_counts,22,"Barbarian",0,0,0,0,0,,
cinder16_counts,23,"Ninja",1,1,0,1,0,,
cinder16_counts,24,"DemonHunter",0,0,0,0,0,,
cinder16_counts,25,"Cyborg",0,0,0,0,0,,
cinder16_counts,26,"Dancer",0,0,0,0,0,,
cinder16_counts,27,"Dragoon",0,0,0,0,0,,
cinder16_counts,28,"Esper",0,0,0,0,0,,
cinder16_counts,29,"Jester",0,0,0,0,0,,
cinder16_counts,30,"Pirate",0,0,0,0,0,,
cinder16_counts,31,"Samurai",0,0,0,0,0,,
cinder16_counts,32,"Alchemist",0,0,0,0,0,,
cinder16_counts,33,"Santa",0,0,0,0,0,,
cinder16_counts,34,"Class ID 34",0,0,0,0,0,,
cinder16_counts,35,"Class ID 35",0,0,0,0,0,,
